Date,PriceOfA,PriceOfB,Position,Quantity,NetBalance,Profit,Loss,CumulProfit,CumulLoss
1992-12-12,105.281,107.59375,Closed,0,9324.06649999999,0.0,0.0,278210.64349999995,278886.57699999993
1992-12-13,105.281,107.59375,Closed,0,9324.06649999999,0.0,0.0,278210.64349999995,278886.57699999993
1992-12-14,105.031,107.390625,Long,10,8272.75649999999,0.0,1051.31,278210.64349999995,278886.57699999993
1992-12-15,105.094,107.515625,Long,5,8797.72649999999,525.47,0.5,278210.64349999995,279937.88699999993
1992-12-16,105.25,107.734375,Closed,0,9323.47649999999,526.25,0.5,278736.1134999999,279938.38699999993
1992-12-17,105.281,107.703125,Closed,0,9323.47649999999,0.0,0.0,279262.3634999999,279938.88699999993
1992-12-18,105.438,107.84375,Short,-5,9850.16649999999,527.19,0.5,279262.3634999999,279938.88699999993
1992-12-19,105.438,107.84375,Closed,0,9322.47649999999,0.0,527.69,279789.5534999999,279939.38699999993
1992-12-20,105.438,107.84375,Closed,0,9322.47649999999,0.0,0.0,279789.5534999999,280467.07699999993
1992-12-21,106.094,107.953125,Short,-5,9852.44649999999,530.47,0.5,279789.5534999999,280467.07699999993
1992-12-22,105.375,107.140625,Long,5,8797.69649999999,0.0,1054.75,280320.0234999999,280467.57699999993
1992-12-23,105.219,107.0,Long,5,8797.69649999999,0.0,0.0,280320.0234999999,281522.32699999993
1992-12-24,105.125,107.0,Closed,0,9322.82149999999,525.625,0.5,280320.0234999999,281522.32699999993
1992-12-25,105.125,107.0,Closed,0,9322.82149999999,0.0,0.0,280845.6484999999,281522.82699999993
1992-12-26,105.125,107.0,Closed,0,9322.82149999999,0.0,0.0,280845.6484999999,281522.82699999993
1992-12-27,105.125,107.0,Closed,0,9322.82149999999,0.0,0.0,280845.6484999999,281522.82699999993
1992-12-28,104.688,106.890625,Closed,0,9322.82149999999,0.0,0.0,280845.6484999999,281522.82699999993
1992-12-29,105.031,106.984375,Closed,0,9322.82149999999,0.0,0.0,280845.6484999999,281522.82699999993
1992-12-30,104.781,107.140625,Closed,0,9322.82149999999,0.0,0.0,280845.6484999999,281522.82699999993
1992-12-31,104.656,106.9375,Long,10,8275.26149999999,0.0,1047.56,280845.6484999999,281522.82699999993
1993-01-01,104.656,106.9375,Closed,0,9320.82149999999,1046.56,1.0,280845.6484999999,282570.38699999993
1993-01-02,104.656,106.9375,Closed,0,9320.82149999999,0.0,0.0,281892.2084999999,282571.38699999993
1993-01-03,104.656,106.9375,Closed,0,9320.82149999999,0.0,0.0,281892.2084999999,282571.38699999993
1993-01-04,105.531,107.578125,Short,-5,9847.97649999999,527.655,0.5,281892.2084999999,282571.38699999993
1993-01-05,105.531,107.59375,Closed,0,9319.82149999999,0.0,528.155,282419.8634999999,282571.88699999993
1993-01-06,105.375,107.484375,Closed,0,9319.82149999999,0.0,0.0,282419.8634999999,283100.04199999996
1993-01-07,104.094,106.96875,Long,10,8277.881499999989,0.0,1041.94,282419.8634999999,283100.04199999996
1993-01-08,103.906,107.390625,Long,5,8796.91149999999,519.53,0.5,282419.8634999999,284141.98199999996
1993-01-09,103.906,107.390625,Closed,0,9315.94149999999,519.53,0.5,282939.39349999995,284142.48199999996
1993-01-10,103.906,107.390625,Closed,0,9315.94149999999,0.0,0.0,283458.9235,284142.98199999996
1993-01-11,103.875,107.671875,Short,-5,9834.81649999999,519.375,0.5,283458.9235,284142.98199999996
1993-01-12,103.656,107.59375,Closed,0,9316.03649999999,0.0,518.78,283978.2985,284143.48199999996
1993-01-13,104.125,107.75,Short,-5,9836.16149999999,520.625,0.5,283978.2985,284662.262
1993-01-14,104.562,108.046875,Short,-5,9836.16149999999,0.0,0.0,284498.9235,284662.762
1993-01-15,105.469,108.453125,Short,-5,9836.16149999999,0.0,0.0,284498.9235,284662.762
1993-01-16,105.469,108.453125,Closed,0,9308.31649999999,0.0,527.845,284498.9235,284662.762
1993-01-17,105.469,108.453125,Closed,0,9308.31649999999,0.0,0.0,284498.9235,285190.60699999996
1993-01-18,105.406,108.46875,Closed,0,9308.31649999999,0.0,0.0,284498.9235,285190.60699999996
1993-01-19,105.906,108.40625,Closed,0,9308.31649999999,0.0,0.0,284498.9235,285190.60699999996
1993-01-20,105.719,108.234375,Closed,0,9308.31649999999,0.0,0.0,284498.9235,285190.60699999996
1993-01-21,105.969,108.390625,Closed,0,9308.31649999999,0.0,0.0,284498.9235,285190.60699999996
1993-01-22,106.094,108.6875,Short,-5,9838.28649999999,530.47,0.5,284498.9235,285190.60699999996
1993-01-23,106.094,108.6875,Closed,0,9307.31649999999,0.0,530.97,285029.39349999995,285191.10699999996
1993-01-24,106.094,108.6875,Closed,0,9307.31649999999,0.0,0.0,285029.39349999995,285722.07699999993
1993-01-25,107.219,109.0,Short,-5,9842.91149999999,536.095,0.5,285029.39349999995,285722.07699999993
1993-01-26,106.656,108.84375,Long,5,8775.35149999999,0.0,1067.56,285565.4884999999,285722.57699999993
1993-01-27,106.781,109.109375,Closed,0,9308.75649999999,533.905,0.5,285565.4884999999,286790.13699999993
1993-01-28,106.969,109.46875,Short,-5,9843.10149999999,534.845,0.5,286099.39349999995,286790.63699999993
1993-01-29,107.188,109.671875,Short,-5,9843.10149999999,0.0,0.0,286634.2384999999,286791.13699999993
1993-01-30,107.188,109.671875,Closed,0,9306.66149999999,0.0,536.44,286634.2384999999,286791.13699999993
1993-01-31,107.188,109.671875,Closed,0,9306.66149999999,0.0,0.0,286634.2384999999,287327.57699999993
1993-02-01,107.406,109.734375,Closed,0,9306.66149999999,0.0,0.0,286634.2384999999,287327.57699999993
1993-02-02,106.938,109.453125,Long,10,8236.28149999999,0.0,1070.38,286634.2384999999,287327.57699999993
1993-02-03,107.25,109.390625,Closed,0,9307.78149999999,1072.5,1.0,286634.2384999999,288397.95699999994
1993-02-04,107.812,109.6875,Short,-5,9846.34149999999,539.06,0.5,287706.7384999999,288398.95699999994
1993-02-05,108.344,110.265625,Short,-5,9846.34149999999,0.0,0.0,288245.7984999999,288399.45699999994
1993-02-06,108.344,110.265625,Closed,0,9304.12149999999,0.0,542.22,288245.7984999999,288399.45699999994
1993-02-07,108.344,110.265625,Closed,0,9304.12149999999,0.0,0.0,288245.7984999999,288941.6769999999
1993-02-08,108.031,109.9375,Long,10,8222.81149999999,0.0,1081.31,288245.7984999999,288941.6769999999
1993-02-09,107.906,109.6875,Long,10,8222.81149999999,0.0,0.0,288245.7984999999,290022.9869999999
1993-02-10,107.094,109.3125,Long,10,8222.81149999999,0.0,0.0,288245.7984999999,290022.9869999999
1993-02-11,107.812,109.5625,Long,5,8761.37149999999,539.06,0.5,288245.7984999999,290022.9869999999
1993-02-12,107.969,109.65625,Closed,0,9300.71649999999,539.845,0.5,288784.8584999999,290023.4869999999
1993-02-13,107.969,109.65625,Closed,0,9300.71649999999,0.0,0.0,289324.7034999999,290023.9869999999
1993-02-14,107.969,109.65625,Closed,0,9300.71649999999,0.0,0.0,289324.7034999999,290023.9869999999
1993-02-15,107.969,109.65625,Closed,0,9300.71649999999,0.0,0.0,289324.7034999999,290023.9869999999
1993-02-16,107.844,109.90625,Short,-5,9839.436499999989,539.22,0.5,289324.7034999999,290023.9869999999
1993-02-17,108.312,110.28125,Short,-5,9839.436499999989,0.0,0.0,289863.92349999986,290024.4869999999
1993-02-18,109.344,110.96875,Short,-5,9839.436499999989,0.0,0.0,289863.92349999986,290024.4869999999
1993-02-19,109.562,110.953125,Closed,0,9291.12649999999,0.0,548.31,289863.92349999986,290024.4869999999
1993-02-20,109.562,110.953125,Closed,0,9291.12649999999,0.0,0.0,289863.92349999986,290572.7969999999
1993-02-21,109.562,110.953125,Closed,0,9291.12649999999,0.0,0.0,289863.92349999986,290572.7969999999
1993-02-22,110.312,111.0625,Closed,0,9291.12649999999,0.0,0.0,289863.92349999986,290572.7969999999
1993-02-23,111.719,111.796875,Short,-5,9849.221499999989,558.595,0.5,289863.92349999986,290572.7969999999
1993-02-24,111.094,111.421875,Long,5,8737.281499999988,0.0,1111.94,290422.51849999983,290573.2969999999
1993-02-25,110.969,111.234375,Closed,0,9291.626499999988,554.845,0.5,290422.51849999983,291685.2369999999
1993-02-26,110.875,111.359375,Closed,0,9291.626499999988,0.0,0.0,290977.3634999998,291685.7369999999
1993-02-27,110.875,111.359375,Closed,0,9291.626499999988,0.0,0.0,290977.3634999998,291685.7369999999
1993-02-28,110.875,111.359375,Closed,0,9291.626499999988,0.0,0.0,290977.3634999998,291685.7369999999
1993-03-01,111.875,111.796875,Short,-5,9850.501499999988,559.375,0.5,290977.3634999998,291685.7369999999
1993-03-02,111.75,111.796875,Closed,0,9291.251499999988,0.0,559.25,291536.7384999998,291686.2369999999
1993-03-03,112.656,112.203125,Short,-5,9854.031499999988,563.28,0.5,291536.7384999998,292245.4869999999
1993-03-04,113.406,112.34375,Closed,0,9286.501499999988,0.0,567.53,292100.01849999983,292245.9869999999
1993-03-05,112.875,111.765625,Long,10,8156.751499999988,0.0,1129.75,292100.01849999983,292813.51699999993
1993-03-06,112.875,111.765625,Closed,0,9284.501499999988,1128.75,1.0,292100.01849999983,293943.26699999993
1993-03-07,112.875,111.765625,Closed,0,9284.501499999988,0.0,0.0,293228.76849999983,293944.26699999993
1993-03-08,113.156,111.65625,Closed,0,9284.501499999988,0.0,0.0,293228.76849999983,293944.26699999993
1993-03-09,112.812,111.34375,Long,10,8155.381499999988,0.0,1129.12,293228.76849999983,293944.26699999993
1993-03-10,112.406,111.203125,Closed,0,9278.441499999988,1124.06,1.0,293228.76849999983,295073.38699999993
1993-03-11,112.469,111.328125,Closed,0,9278.441499999988,0.0,0.0,294352.8284999998,295074.38699999993
